stm_car_user,Status,Date,ID,Title,Tipo,stm_genuine_price,Marca,Modelo,Versao,ymfc,"Ano Modelo",mileage,Cambio,Combustivel,Cor,Portas,Estilo,additional_features,"Image URL",Content,"Post Type",stm_car_location,stm_lat_car_admin,stm_lng_car_admin,car_mark_as_sold,registration_date,sale_price,"Author ID",vin_number,Motor,title_custom,km_custom,"OP custom"
33,publish,20191120,12563,"Volkswagen Saveiro",Usado,41000,Volkswagen,Saveiro,,2014,2014,90650,Manual,Flex,Branco,2,Picape,"Ar condicionado,Alarme,Direção hidráulica,Vidro elétrico,Trava elétrica, Som mp3,Air bag,ABS, Rodas de liga leve,Bancos em couro,Sensor estacionamento","http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-6.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-10.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-9.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-8.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-7.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-5.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-4.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-3.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35-1.jpeg,http://www.noroestemotors.com/wp-content/uploads/2019/11/WhatsApp-Image-2019-11-19-at-17.02.35.jpeg","Carro muito conservado, Segundo dono e com pneus em ótimo estado.
Carro sem detalhes e comprar e rodar.",listings,"Unaí, MG, Brasil",-16.3596675,-46.902585999999985,on,,,33,"1.6 Cross CE",1.6,"Volkswagen Saveiro  1.6 Cross CE    ",90650,"ABS|Air bag|Alarme|Ar condicionado|Bancos em couro|Direção hidráulica|Rodas de liga leve|Sensor estacionamento|Som mp3|Trava elétrica|Vidro elétrico"
35,publish,20200120,13461,"Renault Sandero",Usado,37000,Renault,Sandero,,2015,2016,36600,Manual,Flex,Branco,4,Hatchback,"Ar condicionado,Alarme,Direção hidráulica,Vidro elétrico,Air bag,ABS, Rodas de liga leve,Sensor estacionamento","http://www.noroestemotors.com/wp-content/uploads/2020/01/1e73e38c-6631-430a-9c16-0fb0763ca05d.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/01/0267267a-81ec-45f8-a524-24ec4116e353.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/01/1beb733d-928c-405a-9581-2ce7be852b74-1.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/01/5f6a316d-0242-4fd9-a2ec-2ded199b7152.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/01/7f42adc0-fa54-4f23-ae23-b32a81526c29.jpg","completo, , motor 1.6 flex, câmbio manual, acabamentos e costuras em azul, volante multifuncional, computador de bordo, multimídia original, conexão bluetooth, entradas usb/aux, sensor de estacionamento, c/ alarme, faróis de milha, rodas de liga leve grafite, estepe sem uso, manual, chave reserva, apenas 36000  km rodados, pneus em bom estado. IPVA 2020 pago.",listings,"Unaí, MG, Brasil",-16.3596675,-46.90258599999999,,,,35,2016,1.6,"Renault Sandero  2016      ",36600,"ABS|Air bag|Alarme|Ar condicionado|Direção hidráulica|Rodas de liga leve|Sensor estacionamento|Vidro elétrico"
37,publish,20200304,14302,"Jeep Renegade",Usado,59990,Jeep,Renegade,,2015,2016,47500,Automático,Flex,Branco,,SUV,"Ar condicionado,Direção hidráulica,Direção elétrica,Vidro elétrico,Trava elétrica, Som mp3,Air bag,ABS, Rodas de liga leve,Pintura metálica,Sensor estacionamento","http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-18.41.31-1.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-18.41.31-2.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-18.41.31.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-18.41.32-1.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-18.41.32.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-18.41.33.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-21.05.29.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-21.06.23.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/03/WhatsApp-Image-2020-03-03-at-21.06.36.jpeg","Oportunidade, único dono, baixo km, veículo com câmbio automático, piloto automático, limitador de velocidade, controle de estabilidade, freio a disco nas 4 rodas, frei de estacionamento elétrico, computador de bordo, ar-condicionado dual zone, câmera de  Ré e sensor de estacionamento, estepe sem uso, parafuso das rodas anti-furto. IPVA 2020 pago !!! 
Estudo proposta por outro carro, neste caso considerar preço da Fipe.",listings,"Unaí, MG, Brasil",-16.3596675,-46.90258599999999,on,,,37,,1.8,"Jeep Renegade  1.8",47500,"ABS|Air bag|Ar condicionado|Direção elétrica|Direção hidráulica|Pintura metálica|Rodas de liga leve|Sensor estacionamento|Som mp3|Trava elétrica|Vidro elétrico"
38,publish,20200317,14625,"Chevrolet Onix",Usado,30000,Chevrolet,Onix,,2016,2017,61000,Manual,Flex,Branco,4,Hatchback,"Ar condicionado,Direção hidráulica,Vidro elétrico,Trava elétrica,Air bag,ABS",,"Rodado so na cidade.",listings,"Unaí, MG, Brasil",-16.3596675,-46.90258599999999,on,,,38,Joy,1.0,"Chevrolet Onix  1.0 JOY      ",61000,"ABS|Air bag|Ar condicionado|Direção hidráulica|Trava elétrica|Vidro elétrico"
4,publish,20200716,16841,"Land Rover Freelander",Usado,77000,"Land Rover",Freelander,,2012,2012,96069,Automático,Gasolina,Prata,4,SUV,"Ar condicionado,Alarme,Direção hidráulica,Vidro elétrico,Trava elétrica, Som mp3,Air bag,ABS, DVD player, Rodas de liga leve,Bancos em couro,Pintura metálica,Sensor estacionamento","http://www.noroestemotors.com/wp-content/uploads/2020/10/IMG_20201007_110909896_HDR.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/07/IMG_20200716_091948214.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/07/IMG_20200716_092203718.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/07/IMG_20200716_091954981.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/07/IMG_20200716_092012796.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/10/IMG_20201007_110918911_HDR.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/10/IMG_20201007_110938935_HDR.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/10/IMG_20201007_110946934_HDR.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/10/IMG_20201007_111024476_HDR.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/10/IMG_20201007_111039979_HDR.jpg","Ótimo estado de conservação....",listings,Unai,,,,,,4,"II SD4 SE",2.2,"Land Rover Freelander  2.2 II SD4 SE    ",96069,"ABS|Air bag|Alarme|Ar condicionado|Bancos em couro|Direção hidráulica|DVD player|Pintura metálica|Rodas de liga leve|Sensor estacionamento|Som mp3|Trava elétrica|Vidro elétrico"
41,publish,20200803,17373,"Fiat Palio",Usado,23000,Fiat,Palio,,2014,2014,79830,Manual,Flex,Branco,4,Hatchback,"Ar condicionado,Alarme,Direção hidráulica,Vidro elétrico,Trava elétrica, Som mp3, Rodas de liga leve,Pintura metálica","http://www.noroestemotors.com/wp-content/uploads/2020/08/951035162993709.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/08/956035526413451.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/08/952035521800589.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/08/950004527421484.jpg",N/A,listings,unai,,,,,,41,celebration,1.0,"Fiat Palio  1.0 Celebration      ",79830,"Alarme|Ar condicionado|Direção hidráulica|Pintura metálica|Rodas de liga leve|Som mp3|Trava elétrica|Vidro elétrico"
42,publish,20200820,17885,"Fiat Punto",Usado,32500,Fiat,Punto,,2013,2014,87000,Automatizado,Flex,Preto,4,Hatchback,"Ar condicionado,Alarme,Direção hidráulica,Vidro elétrico,Trava elétrica, Som mp3,Air bag,ABS, Rodas de liga leve,Bancos em couro,Pintura metálica,Sensor estacionamento","http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18-1.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18-2.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18-3.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18-4.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18-5.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18-6.jpeg,http://www.noroestemotors.com/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-13-at-16.38.18.jpeg",N/A,listings,Unaí-MG,,,on,,,42,"Essence Dualogic",1.6,"Fiat Punto  1.6 Essence Dualogic     ",87000,"ABS|Air bag|Alarme|Ar condicionado|Bancos em couro|Direção hidráulica|Pintura metálica|Rodas de liga leve|Sensor estacionamento|Som mp3|Trava elétrica|Vidro elétrico"
47,publish,20201130,20814,"Hyundai HB20",Usado,37.000,Hyundai,HB20,,2016,2017,40.000,Manual,Flex,Prata,4,Hatchback,"Ar condicionado,Alarme,Direção hidráulica,Vidro elétrico,Trava elétrica, Som mp3,Air bag,Pintura metálica","http://www.noroestemotors.com/wp-content/uploads/2020/11/inbound6337929354640705318.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/11/inbound3458084943901458838.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/11/inbound2236958688427220833.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/11/inbound814164926564967054.jpg","HB20 hath confort plus, 1.0 completo 
Ano 16/17 comprado em Dezembro de 2016 
Primeiro Dono
40.000 KM Rodado
Cor Prata send pintura metálica 
Todas revisões feitas na concessionária",listings,Unaí,,,,,,47,"Confort Plus",1.0,"Hyundai HB20  1.0 Confort Plus     ",40.000,"Air bag|Alarme|Ar condicionado|Direção hidráulica|Pintura metálica|Som mp3|Trava elétrica|Vidro elétrico"
7,publish,20201223,21166,"Chevrolet Tracker",Usado,93900,Chevrolet,Tracker,,2019,2019,90,Automático,Flex,Vermelho,4,SUV,"Ar condicionado,Alarme,Direção elétrica,Vidro elétrico,Trava elétrica, Som mp3,Air bag, DVD player, Rodas de liga leve,Pintura metálica","http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-01.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-02.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-03.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-04.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-05.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-06.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-07.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-08.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-VERM-09.jpg",N/A,listings,"UNAI - MG",,,on,,,7,"TURBO 1.4 LT",1.4,"Chevrolet Tracker  Turbo 1.4 LT    ",90,"Air bag|Alarme|Ar condicionado|Direção elétrica|DVD player|Pintura metálica|Rodas de liga leve|Som mp3|Trava elétrica|Vidro elétrico"
7,publish,20201223,21177,"Chevrolet Tracker",Usado,93900,Chevrolet,Tracker,,2019,2019,210,Automático,Flex,Preto,4,SUV,"Ar condicionado,Alarme,Direção elétrica,Vidro elétrico,Trava elétrica, Som mp3,Air bag,ABS, DVD player, Rodas de liga leve,Pintura metálica","http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-01.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-02.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-03.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-04.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-05.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-06.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-07.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-08.jpg,http://www.noroestemotors.com/wp-content/uploads/2020/12/TRACKER-19-LT-PRETA-09.jpg",N/A,listings,"UNAI - MG",,,,,,7,"LT TURBO 1.4",1.4,"Chevrolet Tracker  LT Turbo 1.4    ",210,"ABS|Air bag|Alarme|Ar condicionado|Direção elétrica|DVD player|Pintura metálica|Rodas de liga leve|Som mp3|Trava elétrica|Vidro elétrico"
